Hotel Name,City,Country,Max Temp,Lat,Lng,Hotel Name
497,Axim,GH,76.84,4.8699,-2.2405,Axim Beach Resort And Spa
500,Kirakira,SB,83.93,-10.4544,161.9205,SanBiz Lodge
501,Mumford,GH,77.7,5.2618,-0.759,Spanish Villa
503,Labuhan,ID,77.43,-6.8844,112.2051,PT PPI Lamongan Tambak C
505,Great Falls,US,84.92,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
507,Sriperumbudur,IN,78.48,12.9689,79.9489,Sree Residency
508,Kanniyakumari,IN,79.92,8.0833,77.5667,Sparsa
509,Campos Gerais,BR,71.65,-21.235,-45.7586,Hotel Paraíso
511,Tlaquiltenango,MX,82.63,18.6333,-99.1667,El Rollo Parque Acuático
512,Xenia,US,70.03,39.6848,-83.9296,Ramada by Wyndham Xenia
513,Fort Abbas,PK,88.72,29.1925,72.8536,AsAd's House
514,Sinnamary,GF,81.57,5.3833,-52.95,ALETHEIA Appartement Sinnamary
515,Saint-Pierre,RE,71.24,-21.3393,55.4781,Lindsey Hôtel
518,Parintins,BR,83.34,-2.6283,-56.7358,Cama e Cafe
519,Rawson,AR,71.02,-43.3002,-65.1023,Hosteria Sampedro
520,Koutiala,ML,80.13,12.3917,-5.4642,Hotel Campement Poule Verte
523,Ambon,ID,75.34,-3.6954,128.1814,Swiss-Belhotel Ambon
524,Tarrafal,CV,79.59,15.2833,-23.7667,Hotel Ixola
528,French Harbor,HN,89.6,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
530,Benguela,AO,70.66,-12.5763,13.4055,Hotel Praia Morena
531,Haizhou,CN,71.74,34.5817,119.1289,Shiji Yuan International Hotel
533,Ursulo Galvan,MX,89.69,22.7333,-98.3,HOTEL LAS FUENTES DEL BERNAL
537,Nakamura,JP,70.23,32.9833,132.9333,Hotel Crown Hills Nakamura
538,Zabid,YE,87.3,14.1951,43.3152,دار الضيافة
540,Kenitra,MA,70.84,34.261,-6.5802,Bienvenue chez vous
543,Port Keats,AU,77.43,-14.25,129.55,TDC Village (Hundred Man Camp)
545,Trang,TH,74.34,7.5,99.5,Jelly's Home
546,Baker City,US,84.94,44.7749,-117.8344,Bridge Street Inn
550,Ajdabiya,LY,72.77,30.7554,20.2263,Almadina Hotel
556,Seguin,US,91.71,29.5688,-97.9647,La Quinta Inn & Suites by Wyndham Seguin
565,Sakakah,SA,80.17,29.9697,40.2064,Fakhamat Al Orjoana Apartment
567,Mubi,NG,74.48,10.2676,13.2644,Hotel
568,Batticaloa,LK,80.28,7.7102,81.6924,Grand Star Guest House
569,Bodden Town,KY,88.99,19.2833,-81.25,Will T Place
571,Mandan,US,85.03,46.8267,-100.8896,Twin City Estates
573,Eldorado,BR,85.08,-23.7869,-54.2836,Villa Verde Hotel
576,Pascagoula,US,83.05,30.3658,-88.5561,Regency Inn
