City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
321,Huilong,31.8111,121.655,72.99,77,84,9.13,CN
322,Russell,32.3502,-85.1999,81.97,46,1,5.75,US
323,Kuliyapitiya,7.4688,80.0401,82.08,90,99,6.11,LK
324,Nsunga,-1.1439,31.3947,65.1,80,93,3.67,TZ
325,Luanda,-8.8368,13.2343,75.2,83,20,6.91,AO
326,Lamu,-2.2717,40.902,75.42,81,100,14.07,KE
327,Ozinki,51.1786,49.6769,51.44,68,51,6.98,RU
328,Zhezkazgan,47.8043,67.7144,50.68,26,43,8.41,KZ
329,Denpasar,-8.65,115.2167,76.71,94,20,8.05,ID
330,Souillac,-20.5167,57.5167,72.36,78,40,14.97,MU
331,Bondo,3.8146,23.6866,67.66,96,99,0.45,CD
332,Barhi,23.9,80.8,75.38,85,79,2.55,IN
333,Kununurra,-15.7667,128.7333,64.38,82,19,5.75,AU
334,Port Hawkesbury,45.6169,-61.3485,66.9,94,90,5.01,CA
335,Vercelli,45.3231,8.4153,69.85,82,100,4.43,IT
336,Vardo,70.3705,31.1107,46.54,85,48,8.88,NO
337,Tucupita,9.0622,-62.051,80.15,82,84,2.08,VE
338,Inirida,3.8653,-67.9239,79.5,83,81,2.33,CO
339,Kaitangata,-46.2817,169.8464,46.69,55,6,10.89,NZ
340,Mecca,21.4267,39.8261,87.78,47,29,4.45,SA
341,Kamina,-8.7386,24.9906,68.79,38,3,2.98,CD
342,Madang,-5.2246,145.7966,79.92,84,84,1.1,PG
343,Senanga,-16.1167,23.2667,71.47,19,3,9.31,ZM
344,Filadelfia,39.9523,-75.1638,76.98,50,75,1.99,US
345,Wakkanai,45.4094,141.6739,57.94,80,99,7.9,JP
346,Geraldton,-28.7667,114.6,61.21,77,75,10.36,AU
347,Udachnyy,66.4167,112.4,30.36,71,20,4.9,RU
348,Hobyo,5.3505,48.5268,77.49,86,98,22.06,SO
349,Marawi,7.9986,124.2928,65.64,88,97,2.8,PH
350,Komsomolskiy,40.4272,71.7189,63.32,42,0,9.22,UZ
351,Tabas,33.5959,56.9244,82.45,6,0,5.03,IR
352,Pasni,25.2631,63.471,80.49,80,41,8.99,PK
353,Kruisfontein,-34.0033,24.7314,53.89,58,19,7.43,ZA
354,Salgueiro,-8.0742,-39.1192,79.59,57,23,26.02,BR
355,Sao Filipe,14.8961,-24.4956,78.66,76,36,4.34,CV
356,Singkang,2.1006,102.7994,78.69,95,81,3.15,MY
357,Farah,32.5,62.5,74.34,9,0,2.42,AF
358,Matagami,49.7502,-77.6328,62.71,63,75,17.27,CA
359,Tigzirt,36.8886,4.1198,75.92,81,100,9.84,DZ
360,Burgersdorp,-30.9977,26.3286,63.14,19,62,0.74,ZA
361,Tortoli,39.9256,9.6572,77.99,83,75,9.22,IT
362,Coihaique,-45.5752,-72.0662,48.81,70,90,11.5,CL
363,Naryan-Mar,67.6713,53.087,44.94,80,100,17.47,RU
364,Okhotsk,59.3833,143.3,44.6,65,100,12.19,RU
365,Agadez,19.75,10.25,83.88,15,3,8.97,NE
366,Utete,-7.986,38.758,69.66,93,10,0.78,TZ
367,Sokoto,13.0609,5.239,83.25,53,54,8.57,NG
368,Mashhad,36.297,59.6062,69.94,30,0,6.91,IR
369,Fonte Boa,-2.4959,-66.2662,79.36,79,96,2.68,BR
370,Kyra,49.5776,111.9753,50.76,96,76,3.31,RU
371,Wajima,37.4,136.9,67.53,87,100,4.27,JP
372,Meulaboh,4.1363,96.1285,75.88,92,100,9.86,ID
373,Semey,50.4111,80.2275,42.58,41,0,6.08,KZ
374,Houston,29.7633,-95.3633,89.06,43,1,4.0,US
375,Vanavara,60.34,102.2797,32.56,98,68,3.6,RU
376,Port-Gentil,-0.7193,8.7815,76.96,94,40,10.36,GA
377,Miri,4.4148,114.0089,77.14,94,40,3.44,MY
378,Guerrero Negro,27.9769,-114.0611,76.91,62,85,16.46,MX
379,Namie,37.4833,141.0,63.72,95,100,6.15,JP
380,Quelimane,-17.8786,36.8883,73.35,88,0,3.44,MZ
381,Vila Franca Do Campo,37.7167,-25.4333,73.2,90,100,11.03,PT
382,Gimli,50.6336,-96.9907,76.42,63,92,9.22,CA
383,Eyl,7.9803,49.8164,77.4,81,67,18.25,SO
384,Broken Hill,-31.95,141.4333,44.31,53,0,5.75,AU
385,Goruia,45.1862,21.7781,52.57,68,0,3.56,RO
386,Shimoda,34.6667,138.95,71.71,78,100,16.64,JP
387,Pervomayskoye,43.919,46.7102,54.81,90,100,17.81,RU
388,Tevriz,57.509,72.4042,27.36,97,8,4.59,RU
389,Fairmont,39.4851,-80.1426,70.97,80,100,7.2,US
390,Bar Bigha,25.2167,85.7333,85.19,69,100,4.09,IN
391,Carutapera,-1.195,-46.02,79.63,79,100,10.18,BR
392,Bartica,6.4,-58.6167,82.72,92,54,2.44,GY
393,Milverton,43.5668,-80.9164,57.79,82,100,12.28,CA
394,Mapua,-41.25,173.1,58.42,97,9,6.46,NZ
395,Baykit,61.67,96.37,30.31,84,97,4.03,RU
396,Namatanai,-3.6667,152.4333,82.49,75,55,7.99,PG
397,Kaspiyskiy,45.3929,47.3707,61.99,62,100,7.49,RU
398,Parambu,-6.2111,-40.6944,84.54,34,63,5.32,BR
399,Sarande,39.8756,20.0053,70.18,47,0,2.82,AL
400,Orlovskiy,46.8714,42.0592,51.57,82,31,10.58,RU
401,Syasstroy,60.1367,32.5691,47.97,93,100,13.38,RU
402,Caravelas,-17.7125,-39.2481,71.26,67,29,8.1,BR
403,La Ronge,55.1001,-105.2842,68.22,42,20,6.91,CA
404,San Cristobal,7.7669,-72.225,87.98,85,34,5.77,VE
405,Shirokiy,49.758,129.523,46.47,88,3,3.94,RU
406,Mortka,59.3322,66.0214,30.38,91,47,5.66,RU
407,Maragogi,-9.0122,-35.2225,75.24,87,18,9.24,BR
408,Sharkan,57.2989,53.8712,47.16,88,100,11.25,RU
409,Dunedin,-45.8742,170.5036,45.81,63,29,14.38,NZ
410,Avera,33.194,-82.5271,80.44,45,54,5.79,US
